institution_name,institution_display_name,parent_organization,work_unit,location_hint,target_level,total_relevant_packages,total_pagu,months_found,relevant_categories,official_website,contact_email,contact_phone,contact_person,contact_role,contact_source_url,contact_source_type,contact_notes
UPT Puskesmas Parijatah Kulon,UPT Puskesmas Parijatah Kulon — Kab. Banyuwangi,Kab. Banyuwangi,UPT Puskesmas Parijatah Kulon,"Jawa Timur, Banyuwangi (Kab.)",HEALTH_UNIT,1,50842600,May 2026,OFFICE_FURNITURE,,,,,,,,
UPT Puskesmas Pasawahan,UPT Puskesmas Pasawahan — Kota Bandung,Kota Bandung,UPT Puskesmas Pasawahan,"Jawa Barat, Bandung (Kota)",HEALTH_UNIT,2,18459600,June 2026; May 2026,AUDIO; DESKTOP,,,,,,,,
UPT Puskesmas Pasirkaliki,UPT Puskesmas Pasirkaliki — Kota Bandung,Kota Bandung,UPT Puskesmas Pasirkaliki,"Jawa Barat, Bandung (Kota)",HEALTH_UNIT,3,200000000,June 2026,DESKTOP; OFFICE_FURNITURE,,,,,,,,
UPT Puskesmas Paspan,UPT Puskesmas Paspan — Kab. Banyuwangi,Kab. Banyuwangi,UPT Puskesmas Paspan,"Jawa Timur, Banyuwangi (Kab.)",HEALTH_UNIT,3,73792400,June 2026; May 2026,DESKTOP; IT_HARDWARE; OFFICE_FURNITURE,,,,,,,,
UPT Puskesmas Playen I,UPT Puskesmas Playen I — Kab. Gunungkidul,Kab. Gunungkidul,UPT Puskesmas Playen I,"DI Yogyakarta, Gunung Kidul (Kab.)",HEALTH_UNIT,1,7000000,May 2026,SCANNER,,,,,,,,
UPT Puskesmas Sepanjang,UPT Puskesmas Sepanjang — Kab. Banyuwangi,Kab. Banyuwangi,UPT Puskesmas Sepanjang,"Jawa Timur, Banyuwangi (Kab.)",HEALTH_UNIT,1,18500000,June 2026,DESKTOP,,,,,,,,
UPT Puskesmas Simpang Pesak,UPT Puskesmas Simpang Pesak — Kab. Belitung Timur,Kab. Belitung Timur,UPT Puskesmas Simpang Pesak,"Kep. Bangka Belitung, Belitung Timur (Kab.)",HEALTH_UNIT,1,1443000,May 2026,NETWORKING,,,,,,,,
UPT Puskesmas Sindang Jaya,UPT Puskesmas Sindang Jaya — Kota Bandung,Kota Bandung,UPT Puskesmas Sindang Jaya,"Jawa Barat, Bandung (Kota)",HEALTH_UNIT,2,100000000,June 2026,DESKTOP; UPS,,,,,,,,
UPT Puskesmas Sukagalih,UPT Puskesmas Sukagalih — Kota Bandung,Kota Bandung,UPT Puskesmas Sukagalih,"Jawa Barat, Bandung (Kota)",HEALTH_UNIT,1,2467300,May 2026,IT_HARDWARE,,,,,,,,
UPT Puskesmas Sukajadi,UPT Puskesmas Sukajadi — Kota Bandung,Kota Bandung,UPT Puskesmas Sukajadi,"Jawa Barat, Bandung (Kota)",HEALTH_UNIT,1,47035000,June 2026,OFFICE_FURNITURE,,,,,,,,
